date,source,story,issue_title,url,topics,snippet,pediatric_terms,ai_terms,radiology_terms
2024-02-07,The Imaging Wire,Meet Gleamer at ECR 2024,MRI’s Value for Prostate Screening | KLAS Awards,https://theimagingwire.com/newsletter/mri-for-prostate-screening/,fracture / trauma / abuse,"Meet Gleamer at ECR 2024  Learn all about Gleamer and its portfolio of AI solutions, including its BoneView algorithm for detecting fractures in adults and children, at the upcoming ECR 2024 conference. Schedule a meeting today .",child,ai; algorithm,
2024-01-20,The Imaging Wire,The Wire · Us2.ai,Out-of-Network Radiology Claims | AI Threat to Doctors?,https://theimagingwire.com/newsletter/out-of-network-radiology-claims/,funding / business,"Us2.ai ’s Echo AI Platform Play: Last week’s news of Children’s National and Us2.ai ’s rheumatic heart disease screening initiative , also revealed Us2.ai ’s promising new pathway for bringing custom echo AI applicatio…",child,ai; algorithm,
2024-01-17,The Imaging Wire,The Wire · Echo AI’s RHD Impact:,Why Has Breast Cancer Mortality Fallen? | Radiology without Images,https://theimagingwire.com/newsletter/breast-cancer-mortality-drop/,appendicitis / abdomen / ultrasound,"…art disease, especially in developing countries. The article detailed a new echo AI solution developed by Children’s National and Us2.ai that could help detect pediatric RHD while it’s still easily treatable with penicillin ( currently 90% accuracy ), potentially avoiding thousands of heart surgeries and RHD deaths. The researc…",child; pediatric,ai; algorithm,ultrasound
2024-01-15,ESR / ECR,Hidden health risks of endocrine disruptors?,Hidden health risks of endocrine disruptors?,https://www.myesr.org/hidden-health-risks-of-endocrine-disruptors/,CT dose / reconstruction,"…ortium of 11 partner institutions from seven countries. “Our research project is based on several European cohort population studies, including the LiNA mother–child study established at the UFZ. This provides us with a wealth of data”. Because the biosamples of the participants have already been chemically analysed, the re…",child,ai; artificial intelligence,imaging
2024-01-10,The Imaging Wire,AI Models Go Head-to-Head in Project AIR Study,AI Models Go Head-to-Head | GE to Buy MIM,https://theimagingwire.com/newsletter/ai-models-tested/,bone age / skeletal maturity; fracture / trauma / abuse; chest / pneumonia; funding / business,"…Centre in the Netherlands invited AI developers to participate, with nine products from eight vendors validated from June 2022 to January 2023: two models for bone age prediction and seven algorithms for lung nodule assessment (one vendor participated in both tests). Results included:  For bone age analysis, both of the teste…",bone age,ai; algorithm,imaging; radiolog
2023-12-11,ESR / ECR,Revolutionising paediatric radiology: the future impact of AI,Revolutionising paediatric radiology: the future impact of AI,https://www.myesr.org/ai-blog/revolutionising-paediatric-radiology-the-future-impact-of-ai/,funding / business,"…option of artificial intelligence (AI) within the subspecialties of radiology and whether it has a fixed role in radiology’s future; this is especially true in paediatric radiology. Factors such as a lack of trust in AI applications and a lack of IT infrastructure in many hospitals, among other things, contribute largely to this…",paediatric,ai; artificial intelligence,radiolog
2023-11-26,The Imaging Wire,The Wire · AI of MRI Diagnoses Autism:,Welcome to RSNA 2023 | Lung Cancer Screening,https://theimagingwire.com/newsletter/welcome-to-rsna-2023/,fetal / neonatal brain MRI,"AI of MRI Diagnoses Autism: In another presentation from RSNA , researchers showed how an AI algorithm that analyzed brain MRI scans of children ages 24-48 months was able to diagnose autism at an early stage. The algorithm analyzes diffusion tensor MRI (DT-MRI) scans and extracts markers that indica…",child,ai; algorithm,mri
2023-11-12,The Imaging Wire,Uneven Success Against Breast Cancer | Pediatric Radiation,Uneven Success Against Breast Cancer | Pediatric Radiation,https://theimagingwire.com/newsletter/uneven-success-against-breast-cancer/,cancer / oncology,"“It’s been death by a thousand cuts. The fact that we can still do quite well reading higher volumes is part of the problem.”   JD4540 in the radHQ.net forums , in a post on cuts in Medicare reimbursement.   Imaging Wire Sponsors  Bayer • Blackford • CARPL.ai • Change Healthcare • Clearpath • Enlitic • GE HealthCare • ",pediatric,ai,imaging; mri
2023-11-08,The Imaging Wire,The Wire · Philips to Expand AI-Powered POCUS:,Lung Screening’s Long-Term Benefits | ChatGPT Upgrades,https://theimagingwire.com/newsletter/ct-lung-screening-benefit/,fetal / neonatal brain MRI; funding / business,…ner for guiding obstetric care; the new grant will expand the project globally and brings the total funding to $60M. Lumify will help non-experts perform early fetal scans by automating image acquisition and/or image interpretation.,fetal,ai; ai-,scanner
2023-11-08,The Imaging Wire,The Resource Wire · Stories of Success in Cloud and AI:,Lung Screening’s Long-Term Benefits | ChatGPT Upgrades,https://theimagingwire.com/newsletter/ct-lung-screening-benefit/,,"…for a symposium at 9:30 am on Monday November 27 to hear stories of innovation, success, and best practices from Alex Towbin, MD, associate CMIO of Cincinnati Children’s Hospital, and Randy Hicks, MD, CEO of Regional Medical Imaging.",child,ai,imaging
2023-10-08,The Imaging Wire,The Wire · ChatGPT Reports for Patients:,AI Tug of War Continues | Algorithms at the Gate,https://theimagingwire.com/newsletter/generative-ai-language-model/,LLMs / report generation,"…friendly radiology reports. In European Radiology , German researchers asked ChatGPT to create three fictitious radiology reports that could be understood by a child. Fifteen radiologists rated the reports’ quality, finding them to be factually accurate and complete, and not potentially harmful to patients. Some incorrect s…",child,chatgpt,radiolog
2023-09-20,The Imaging Wire,The Wire · GE Lands $44M AI Ultrasound Grant:,Can AI Direct Breast MRI? | Screening Foes Attack USPSTF,https://theimagingwire.com/newsletter/ai-and-breast-mri/,chest / pneumonia; fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; funding / business,"…untries that will help healthcare professionals without specialized training in ultrasound perform scans, with a focus on maternal and fetal care as well as in pediatric lung health. Leading the research will be Caption Health, the ultrasound AI company that GE acquired earlier in 2023 .",fetal; pediatric,ai; ai-,ultrasound
2023-08-02,The Imaging Wire,The Wire · MRI Radiomics Hones in on Crohn’s:,Mammography AI’s Leap Forward | Informa to Buy HIMSS Show,https://theimagingwire.com/newsletter/ai-cuts-mammo-workload/,,"MRI Radiomics Hones in on Crohn’s: A radiomics model that combined AI analysis of non-contrast MRI scans with clinical features like lab tests outperformed pediatric radiologists for diagnosing Crohn’s disease, a GI condition typically first diagnosed with children and young adults. In a study of 135 patients in AJR , radio…",child; pediatric,ai; radiomics,mri; radiolog
2023-08-02,The Imaging Wire,The Wire · Sonio Gets FDA Nod for Fetal AI:,Mammography AI’s Leap Forward | Informa to Buy HIMSS Show,https://theimagingwire.com/newsletter/ai-cuts-mammo-workload/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; regulatory / FDA clearance; funding / business,"Sonio Gets FDA Nod for Fetal AI: In a major milestone, French prenatal ultrasound AI developer Sonio has received FDA clearance for its Sonio Detect software. Sonio Detect guides sonograph…",fetal; prenatal,ai,sonograph; ultrasound
2023-07-07,RSNA News,"Survivors of Childhood Cancer: Risk of Future Disease, Screening Needs and the Role of Radiology","Survivors of Childhood Cancer: Risk of Future Disease, Screening Needs and the Role of Radiology",https://www.rsna.org/news/2023/july/screenings-for-childhood-cancer-survivors,CT dose / reconstruction; cancer / oncology,"…l treatment of primary childhood cancer may create a false sense of security,” Dr. Gao added. “Continuity of care may also be disrupted when transitioning from pediatric to adult medical care, with timely screening often overlooked.”   Ensuring Consistent Long-Term Prevention in All Survivors   With this in mind, radiologists s…",child; pediatric,ai,ct; imaging; mammogra; mri; radiograph; radiolog
2023-06-25,The Imaging Wire,The Wire · AI Detects Child Abuse on CT,Theranostics Grabs SNMMI Spotlight | New Hybrid Scanners,https://theimagingwire.com/newsletter/theranostics-grabs-snmmi-spotlight/,fracture / trauma / abuse,"AI Detects Child Abuse on CT : AI algorithms could be used to detect subtle signs of child abuse on pediatric brain CT scans that might otherwise be missed, says a new paper in JAMA Network Open . Researchers developed a deep learning model to analyze CT scans to detec…",child; pediatric,ai; algorithm; deep learning,ct
2023-06-19,The Imaging Wire,Better Together at SIIM,Better Together at SIIM | Medical Spending Surge,https://theimagingwire.com/newsletter/better-together-at-siim/,,"…n. Unfortunately, the research suggests otherwise:   Numerous studies have demonstrated the negative effect that the isolation of the COVID pandemic has had on adolescent mental health and academic performance   Loneliness can also have a negative effect on physical well-being, with a recent U.S. Surgeon General’s report findin…",adolescen,ai; ai-,radiolog
2023-06-12,RSNA News,"Understanding the Imaging Spectrum of non-Hodgkin Lymphoma in Children, Adolescents and Young Adults","Understanding the Imaging Spectrum of non-Hodgkin Lymphoma in Children, Adolescents and Young Adults",https://www.rsna.org/news/2023/june/pediatric-non-hodgkin-lymphoma-imaging,CT dose / reconstruction; cancer / oncology; funding / business,"…sed guidelines around the role of imaging with regard to staging, prognosis, treatment and follow-up. This may be because of variability in referral patterns, (pediatric vs. adult health care facilities) and inconsistent treatment protocols.   “Age is an important classifier in NHL, because each age group has a peculiar biology…",adolescen; child; kids; pediatric,ai; algorithm; machine learning; radiomics,ct; imaging; mri; pet; radiograph; radiolog; scanner
2023-06-07,The Imaging Wire,The Wire · BrightHeart’s Fetal Heart AI:,Mayo’s AI Model | Mammo AI Predicts Risk,https://theimagingwire.com/newsletter/mayos-ai-model/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; funding / business,BrightHeart’s Fetal Heart AI: Paris-based ultrasound AI startup BrightHeart launched to help clinicians catch the 70% of congenital fetal heart defects that go undetected. BrightH…,fetal,ai,ultrasound
2023-05-07,The Imaging Wire,The Wire · New C-Arm Launched:,Learning Curve in DBT Screening | Radiology’s Spring Rebound,https://theimagingwire.com/newsletter/learning-curve-in-dbt-screening/,fracture / trauma / abuse; CT dose / reconstruction,"…s a cost-effective option for minimally invasive procedures in orthopedics, trauma, and other surgical areas. Zenition 10 includes a DSA capability, a low-dose pediatric mode, and image processing algorithms to reduce metal implant artifacts. The new C-arm complements Zenition 50 and Zenition 70 in the company’s C-arm portfolio…",pediatric,algorithm,
2023-04-12,Signify Research,Where do opportunities exist?,High-acuity clinical information system (CIS) battleground: Best of Breed versus EHR,https://www.signifyresearch.net/2023/04/12/circle-square-digital-health-trends-march-2023/,fetal / neonatal brain MRI; funding / business,"…y (GTG) traces, mother and baby’s heart rates, contraction rate and/or fetal movement. Notable is the System C Healthcare acquisition of Scottish maternity and neonatal specialist Clevermed (Feb, 2023).  EDIS: Conversely, the Emergency Department Information Systems (EDIS) market has a relatively higher proportion of EHR ven…",fetal; neonat,ai,imaging
2023-04-12,RSNA News,RSNA Webinar to Examine Impact of Large Language Models,RSNA Webinar to Examine Impact of Large Language Models,https://www.rsna.org/news/2023/april/chatgpt-webinar,LLMs / report generation,"…nheur Children's Hospital, University of Tennessee Health Science Center   Jonathan Elias, MD – Weill Cornell Medical College, Cornell University and attending pediatrician, New York Presbyterian Hospital   Keith D. Hentel, MD, MS – New York Presbyterian Hospital   Felipe C. Kitamura, MD, PhD – Universidade Federal de São Paulo…",child; pediatric,ai; chatgpt; large language model,ct; radiolog
2023-04-07,The Imaging Wire,Ultrasound Spots Breech Pregnancies,Ultrasound Spots Breech Pregnancies | Reality Check on ChatGPT,https://theimagingwire.com/newsletter/ultrasound-scans-on-pregnant-women/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,"…breech presentation dropped from 14.2% to 2.8% with conventional ultrasound and from 16.2% to 3.5% with POCUS.  The scans also had an impact on babies’ health. Infants born at either facility had less likelihood of a lower Apgar score (<7) five minutes after birth, and babies were less likely to be sent to the neonatal care…",fetal; infant; neonat,ai,imaging; scanner; ultrasound
2023-04-07,The Imaging Wire,"The Resource Wire · When Sao Paolo’s Diagnosticos da America SA (DASA, the world’s fourth largest di",Ultrasound Spots Breech Pregnancies | Reality Check on ChatGPT,https://theimagingwire.com/newsletter/ultrasound-scans-on-pregnant-women/,chest / pneumonia,"When Sao Paolo’s Diagnosticos da America SA (DASA, the world’s fourth largest diagnostics company) set out to evaluate Qure.ai’s QXR solution for their pediatric chest X-ray workflows, they leveraged CARPL.ai’s platform to streamline their evaluation. See how it worked here .",pediatric,ai,x-ray
2023-03-17,The Imaging Wire,"The Resource Wire · When Sao Paolo’s Diagnosticos da America (DASA, the world’s fourth largest diagn",Med Students Return to Radiology | Match Breaks Records,https://theimagingwire.com/newsletter/med-students-return-to-radiology-match-breaks-records/,chest / pneumonia,"When Sao Paolo’s Diagnosticos da America (DASA, the world’s fourth largest diagnostics company) set out to evaluate Qure.ai’s QXR solution for their pediatric chest X-ray workflows, they leveraged CARPL.ai’s platform to streamline their evaluation. See how it worked here .",pediatric,ai,x-ray
2023-03-08,ESR / ECR,ECR 2023 – A true celebration of the cycle of life.,ECR 2023 – A true celebration of the cycle of life.,https://www.myesr.org/hello-world/,,"…ing marked by cutting-edge science, invaluable education and unforgettable moments.   With a focus on radiology throughout the human life cycle, extending from prenatal radiology right through to forensic imaging, the scientific programme featured a series of special sessions dedicated to the congress’ theme, ‘The Cycle of Lif…",prenatal,ai,imaging; radiograph; radiolog
2023-03-01,The Imaging Wire,The Wire · Fetal Ultrasound AI Generalizability:,RadNet’s Path to AI Profit | ECR Partner Surge,https://theimagingwire.com/newsletter/3788/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,Fetal Ultrasound AI Generalizability: A new Scientific Reports study suggests that fetal ultrasound deep learning models trained in high-resource regions can general…,fetal,ai; deep learning,ultrasound
2023-01-08,The Imaging Wire,The Wire · Gestational Age AI:,Radiology in 2040 | Leqembi’s Imaging Impact,https://theimagingwire.com/newsletter/radiology-in-2040-leqembis-imaging-impact/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,"Gestational Age AI: Google Health researchers developed a trio of fetal ultrasound AI models (still image, video, and ensemble AI) that all improved trained operators’ ability to estimate gestational age. The team developed the AI…",fetal,ai,ultrasound
2022-12-21,The Imaging Wire,The Wire · Sonio Scores Another €10M:,Imaging in 2022 | Enterprise Imaging Expansion,https://theimagingwire.com/newsletter/imaging-in-2022-enterprise-imaging-expansion/,appendicitis / abdomen / ultrasound; funding / business,"Sonio Scores Another €10M: French prenatal ultrasound AI startup Sonio secured €10M in new funding (€7.5M equity investment, €2.5M grant) that it will use to add features to its platform, support its US…",prenatal,ai,sonograph; ultrasound
2022-12-04,The Imaging Wire,RSNA 2022 Reflections | Pediatric Deprioritization,RSNA 2022 Reflections | Pediatric Deprioritization,https://theimagingwire.com/newsletter/rsna-2022-reflections-pediatric-deprioritization/,,Together with  “AI is like adolescent sex. They talk more about doing it than actually doing it.”   The immortal Dr. Saurabh Jha’s opening line at last week’s AI After Dark event.   Imaging Wire S…,adolescen; pediatric,ai,imaging
2022-12-04,The Imaging Wire,The Wire · Pediatric Deprioritization:,RSNA 2022 Reflections | Pediatric Deprioritization,https://theimagingwire.com/newsletter/rsna-2022-reflections-pediatric-deprioritization/,regulatory / FDA clearance,"Pediatric Deprioritization: Most imaging AI solutions are only cleared for adult patients, and it appears that these adult AI solutions can inadvertently cause pediatric…",pediatric,ai,imaging
2022-11-14,ESR / ECR,AI for radiological paediatric fracture assessment,AI for radiological paediatric fracture assessment,https://www.myesr.org/ai-blog/artificial-intelligence-for-radiological-paediatric-fracture-assessment-a-systematic-review/,fracture / trauma / abuse,"…different appearances of the growing skeleton at different ages. In this systematic review, the authors reviewed the available literature on the use of AI for paediatric fracture detection. Additional Key points: Few articles (n=9) were available for review regarding paediatric fracture detection using AI. Most AI models focuse…",child; paediatric,ai; algorithm; artificial intelligence,radiograph; radiolog
2022-10-23,The Imaging Wire,The Wire · Pediatric Thyroid Nodule Alternatives:,Proactive Imaging Momentum | High-Energy SPECT/CT,https://theimagingwire.com/newsletter/proactive-imaging-momentum-high-energy-spect-ct/,appendicitis / abdomen / ultrasound,"Pediatric Thyroid Nodule Alternatives: A Duke-led study highlighted TI-RADS and ultrasound AI’s advantages for classifying pediatric thyroid nodules , versus using radio…",pediatric,ai; algorithm,radiolog; ultrasound
2022-10-16,The Imaging Wire,The Wire · Google’s Fetal Ultrasound AI:,Comprehensive Brain CT AI | Marrying Screenings,https://theimagingwire.com/newsletter/comprehensive-brain-ct-ai-marrying-screenings/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,Google’s Fetal Ultrasound AI: A Google Health-led study highlighted a fetal ultrasound AI model that significantly improved assessments performed using lower-cost handheld ul…,fetal,ai,sonograph; ultrasound
2022-10-05,The Imaging Wire,A Precision Acquisition | Pediatric Fracture Detection,A Precision Acquisition | Pediatric Fracture Detection,https://theimagingwire.com/newsletter/a-precision-acquisition-pediatric-fracture-detection/,fracture / trauma / abuse; funding / business,"Together with  “They might even go to medical school and learn some anatomy and physiology.”   Rizwan Malik, MBBS in response to a post forecasting that physicians will become technology-focused “medical engineers” in the future.   Imaging Wire Sponsors  annalise.ai • Arterys • Bayer • Blackford • Canon Medical • CARPL",pediatric,ai,imaging
2022-10-05,The Imaging Wire,The Wire · Gleamer’s Pediatric Performance:,A Precision Acquisition | Pediatric Fracture Detection,https://theimagingwire.com/newsletter/a-precision-acquisition-pediatric-fracture-detection/,fracture / trauma / abuse; regulatory / FDA clearance,Gleamer’s Pediatric Performance: A new Pediatric Radiology study highlighted Gleamer’s BoneView AI software’s impact on pediatric fracture detection . Three senior pediatric radio…,pediatric,ai,radiolog; x-ray
2022-08-03,The Imaging Wire,The Wire · Ultrasound X-Rays:,A Lung CT Alliance | The Who & How of AI Implementations,https://theimagingwire.com/newsletter/a-lung-ct-alliance-the-who-how-of-ai-implementations/,appendicitis / abdomen / ultrasound; scoliosis / MSK,"…d an AI algorithm called UXGAN (Ultrasound to X-ray Generative Attentional Network) that creates X-ray-like images from ultrasound exams. In their study of 200 children, the researchers found that the ultrasound-synthesized X-rays produced scoliosis measurements that were comparable to actual X-ray images (r = 0.95).",child,ai; algorithm; generative,ultrasound; x-ray
2022-07-20,The Imaging Wire,The Wire · Ultrasound AI Cystic Hygroma Detection,Pneumothorax Performance | Beating BI-RADS,https://theimagingwire.com/newsletter/pneumothorax-performance-beating-bi-rads/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,Ultrasound AI Cystic Hygroma Detection : A new study out of The Ottawa Hospital showed that fetal ultrasound AI models could be used to accurately diagnose cystic hygroma during the first trimester. The researchers trained and tested the AI model using 289…,fetal,ai,ultrasound
2022-07-15,RSNA News,MR Scoring Algorithm Can Help Radiologists Determine Next Steps for Renal Masses,MR Scoring Algorithm Can Help Radiologists Determine Next Steps for Renal Masses,https://www.rsna.org/news/2022/july/mri-scoring-for-renal-masses,cancer / oncology; appendicitis / abdomen / ultrasound; funding / business,…al imaging:  Imaging Findings Can Help Guide Ablation of Renal Cell Carcinoma   Study Tracks Key Imaging Features of COVID-19-Related Abdominal Inflammation in Children,child,algorithm,imaging; mri; radiolog
2022-07-05,The Imaging Wire,The Wire · Sonio’s Prenatal Ultrasound Funding:,Imaging in H1 | Becoming Merative,https://theimagingwire.com/newsletter/imaging-in-h1-becoming-merative/,appendicitis / abdomen / ultrasound; regulatory / FDA clearance; funding / business,"Sonio’s Prenatal Ultrasound Funding: French prenatal ultrasound AI startup secured €5M in funding that it will use to enhance its platform, support its FDA clearance and US exp…",prenatal,ai,sonograph; ultrasound
2022-06-26,The Imaging Wire,The Wire · Kids ≠ Small Adults:,AI Experiences & Expectations | Echo Goes Home,https://theimagingwire.com/newsletter/ai-experiences-expectations-echo-goes-home/,,"Kids ≠ Small Adults: A recent study showing that Lunit’s Insight CXR accurately interpreted pediatric X-rays gained headlines across radiology news outlets, who largely touted the study as a sign that we might be able to fix our pediatric AI deficit with adult-…",kids; pediatric,ai,radiolog; x-ray
2022-06-22,The Imaging Wire,Longevity Imaging | Adult AI for Pediatrics,Longevity Imaging | Adult AI for Pediatrics,https://theimagingwire.com/newsletter/longevity-imaging-adult-ai-for-pediatrics/,,"Together with  “If radiologists wore masks forever would anyone notice?”   A Tweet from Penn Medicine radiologist, Saurabh Jha, MD.   Imaging Wire Sponsors  Arterys • Bayer Radiology • Blackford Analysis • Canon Medical Systems • CARPL.ai • Change Healthcare • Fujifilm Healthcare • GE Healthcare • Intelerad • Novarad •",pediatric,ai,imaging; radiolog
2022-06-22,The Imaging Wire,The Wire · Adult AI for Pediatric Patients:,Longevity Imaging | Adult AI for Pediatrics,https://theimagingwire.com/newsletter/longevity-imaging-adult-ai-for-pediatrics/,chest / pneumonia,"Adult AI for Pediatric Patients: A new study out of South Korea found that Lunit Insight CXR accurately interpreted pediatric chest X-rays , even though Insight CXR is only developed…",pediatric,ai,radiolog; x-ray
2022-06-05,The Imaging Wire,The Wire · Parents’ AI Perceptions:,Making MRI Accessible | Genetic Imaging,https://theimagingwire.com/newsletter/making-mri-accessible-genetic-imaging/,,"Parents’ AI Perceptions: A Lurie Children’s Hospital survey (n = 1,620) found that most parents are open to emergency clinicians using AI tools to manage children with respiratory illnesses. The maj…",child,ai,radiograph
2022-05-18,The Imaging Wire,The Wire · iThera Targets DMD:,Radiographer AI | More Home Imaging,https://theimagingwire.com/newsletter/radiographer-ai-more-home-imaging/,CT dose / reconstruction,"iThera Targets DMD: iThera Medical is leading a €1.6m project to develop a machine learning-assisted optoacoustic imaging solution for pediatric Duchenne muscular dystrophy (DMD) monitoring. The solution will combine iThera’s Multispectral optoacoustic tomography (MSOT) technology, ML-based 3D image rec…",pediatric,machine learning,imaging; tomograph
2022-05-16,ESR / ECR,Key points,Clinical applications of AI and radiomics in neuro-oncology,https://www.myesr.org/ai-blog/clinical-applications-of-artificial-intelligence-and-radiomics-in-neuro-oncology-imaging/,cancer / oncology,…cs allowed the connection of the imaging phenotype of the tumor to its molecular environment.  AI is applied for the assessment of extra-axial brain tumors and pediatric tumors.,pediatric,ai,imaging
2022-05-11,The Imaging Wire,DASA and CARPL.ai’s Pediatric AI Evaluation,Radiologist Skill Gap | X-Ray Uproar,https://theimagingwire.com/newsletter/radiologist-skill-gap-x-ray-uproar/,chest / pneumonia,"DASA and CARPL.ai’s Pediatric AI Evaluation  When Sao Paolo’s Diagnosticos da America SA (DASA, the world’s 4th largest diagnostics company) set out to evaluate Qure.ai’s QXR solution for t…",pediatric,ai,x-ray
2022-05-11,The Imaging Wire,The Wire · Pediatric BoneView:,Radiologist Skill Gap | X-Ray Uproar,https://theimagingwire.com/newsletter/radiologist-skill-gap-x-ray-uproar/,fracture / trauma / abuse; appendicitis / abdomen / ultrasound; regulatory / FDA clearance,"Pediatric BoneView: Skeletal Radiology published a rare pediatric AI study , finding that GLEAMER’s BoneView algorithm accurately detected acute pediatric appendicular f…",pediatric,ai; algorithm,radiolog; x-ray
2022-04-20,The Imaging Wire,"The Resource Wire · When Sao Paolo’s Diagnosticos da America SA (DASA, the world’s 4th largest diagn",NYU’s Video Reporting | Longitudinal AI,https://theimagingwire.com/newsletter/nyus-video-reporting-longitudinal-ai/,chest / pneumonia,"When Sao Paolo’s Diagnosticos da America SA (DASA, the world’s 4th largest diagnostics company) set out to evaluate Qure.ai’s QXR solution for their pediatric chest X-ray workflows, they leveraged CARPL.ai’s platform to streamline their evaluation. See how it worked here .",pediatric,ai,x-ray
2022-03-27,The Imaging Wire,Incidental Evolution | Amateur Ultrasound AI,Incidental Evolution | Amateur Ultrasound AI,https://theimagingwire.com/newsletter/incidental-evolution-amateur-ultrasound-ai/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,"Together with  “We want to make high-quality fetal ultrasound as easy as taking your temperature.”   Northwestern Medical’s Mozziyar Etemadi, MD, PhD his goal to develop an amateur-ready fetal ultrasound soluti…",fetal,ai,imaging; radiolog; ultrasound
2022-03-27,The Imaging Wire,The Wire · Amateur Ultrasound AI:,Incidental Evolution | Amateur Ultrasound AI,https://theimagingwire.com/newsletter/incidental-evolution-amateur-ultrasound-ai/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound,"Amateur Ultrasound AI: Northwestern Medicine and Google are teaming up to develop a handheld ultrasound AI solution intended to help expand access to fetal ultrasound interpretations in low and middle-income countries. Since these exams would be performed by lightly trained health workers or even pregnant women, N…",fetal,ai,ultrasound
2022-03-20,The Imaging Wire,The Case for Operational AI,The Case for Operational AI | e-Stroke Effect,https://theimagingwire.com/newsletter/the-case-for-operational-ai-e-stroke-effect/,CT dose / reconstruction,…like SubtleMR:  Allow more revenue-generating scans per day  Alleviate technologist burnout and staffing challenges  Improve the patient experience (especially pediatric)  Eliminate re-scans by reducing movement artifacts that occur in long exams  Don’t require changes to radiologist workflows  Maintain diagnostic image quality…,pediatric,ai; deep learning,imaging; mri; radiolog
2022-03-06,The Imaging Wire,The Wire · Pediatric CT DLIR:,CT-First CAD | Full-Body Uproar,https://theimagingwire.com/newsletter/ct-first-cad-full-body-uproar/,CT dose / reconstruction,Pediatric CT DLIR: A new AJR study out of Japan shared what might be the first evidence of CT deep learning image reconstruction’s effectiveness with pediatric patients.…,pediatric,deep learning,ct; radiolog
2022-02-09,The Imaging Wire,Cancer Moonshot,Cancer Moonshot | Trans-Atlantic Ultrasound,https://theimagingwire.com/newsletter/cancer-moonshot-trans-atlantic-ultrasound/,cancer / oncology; funding / business,"…Overcoming the COVID pandemic’s cancer screening backlog  Addressing inequity in cancer incidence, detection, and care  Developing new treatments for rare and childhood cancers  Fast-tracking the development of multi-cancer tests  Improving the experience of cancer survivors and caregivers  Leveraging data to “turn our can…",child,ai,imaging; radiolog
2022-01-24,The Imaging Wire,The Resource Wire · Check out this Blackford Analysis white paper detailing how children’s hospital ,A Necessary Split | Color-Coded MRI,https://theimagingwire.com/newsletter/a-necessary-split-color-coded-mri/,,Check out this Blackford Analysis white paper detailing how children’s hospital imaging teams can leverage AI to improve modality throughput and imaging device availability.,child,ai,imaging
2022-01-03,The Imaging Wire,The Resource Wire · See why Children’s National Medical Center calls Arterys’ Cardio AI 4D flow “an ,Imaging in 2022 | CovBaseAI,https://theimagingwire.com/newsletter/imaging-in-2022-covbaseai/,,See why Children’s National Medical Center calls Arterys’ Cardio AI 4D flow “an important diagnostic tool that enhances diagnostic sensitivity and has the potential to impro…,child,ai,
2021-11-15,The Imaging Wire,The Wire · Philips’ Gates Grant:,"Right Diagnoses, Wrong Reasons | RSNA Preview",https://theimagingwire.com/newsletter/right-diagnoses-wrong-reasons-rsna-preview/,fetal / neonatal brain MRI; appendicitis / abdomen / ultrasound; funding / business,"…ght images using Philips’ Lumify ultrasound and then assist with image interpretation, allowing them to identify more early-stage pregnancy problems and reduce childbirth deaths and fetal mortality.",child; fetal,ai; ai-,ultrasound
2021-11-11,The Imaging Wire,Leveraging Pediatric Imaging AI,UCSF Deploys | GE Pureplay,https://theimagingwire.com/newsletter/ucsf-deploys-ge-pureplay/,,Leveraging Pediatric Imaging AI   Check out this Blackford Analysis white paper detailing how children’s hospital imaging teams can leverage AI to improve modality throughput and i…,child; pediatric,ai,imaging
2021-06-07,The Imaging Wire,The Wire · Expert-Level Fetal Ultrasound AI:,Imaging’s Security Moment | WhatsApp AI,https://theimagingwire.com/news/imagings-security-moment-whatsapp-ai/,fetal / neonatal brain MRI; cardiac / echo; appendicitis / abdomen / ultrasound,Expert-Level Fetal Ultrasound AI: UCSF researchers developed a deep learning system that achieved “expert-level” detection of prenatal congenital heart disease (CHD) in fetal ult…,fetal; prenatal,ai; deep learning,ultrasound
2021-06-01,The Imaging Wire,The Wire · Private AI:,CT’s Case | MDR Live | Disrupting NHS,https://theimagingwire.com/news/cts-case-mdr-live-disrupting-nhs/,chest / pneumonia; CT dose / reconstruction,"…-preserving Medical Image Analysis) deep learning system provided new details on its privacy safeguards and showed that it can accurately identify pneumonia in pediatric CXRs. PriMIA combines federated learning (shares algorithms across sites, not data) with additional privacy protection layers (anonymizes sources & patients, p…",pediatric,ai; algorithm; deep learning,
