model_name,model_family,modality,body_region,patient_population,age_groups,clinical_problem,task,model_description,release_status,release_evidence,code_url,journal,year,citations,citations_per_year,rcr,fwci,nih_percentile,doi,url,title,first_author,study_design,dataset_size,data_source,validation,headline_result,pmid,record_id,source,is_preprint,confidence,overridden_fields,extractor_model,prompt_version,extracted_on
,U-Net (ROI localization) + InceptionResNetV2 (feature extraction),x-ray / radiography,hand and wrist,adolescents undergoing hand-wrist radiography for bone age assessment (public RSNA dataset and an in-house dataset),adolescent,skeletal maturity / bone age assessment,segmentation; measurement / quantification,"Given a hand-wrist radiograph, a U-Net first automatically localizes the regions of interest used in the Tanner-Whitehouse method, then an InceptionResNetV2 network extracts features from both the regions of interest and the whole image to estimate bone age, combining the region-based (TW3) and whole-image (Greulich-Pyle) approaches. It was trained and evaluated on the public RSNA bone age dataset and an in-house dataset.",unclear,,,Mathematical biosciences and engineering : MBE,2025,1,1.0,,,,10.3934/mbe.2025007,https://doi.org/10.3934/mbe.2025007,A fully automated U-net based ROIs localization and bone age assessment method.,Zhao Y,technical development with retrospective benchmark validation,public RSNA bone age dataset plus an in-house dataset (exact case counts not stated),public dataset,external / multi-center,"Localization precision of 99.1% on the public RSNA dataset; mean absolute error 0.38 years (males) and 0.45 years (females) on RSNA, and 0.41 years (males) and 0.44 years (females) on the in-house dataset.",39949166,39949166,pubmed,False,high,,claude-sonnet-5 (claude code),1,2026-09-10
,CNN / DNN (varies by included study),ultrasound,fetal biometry,Pregnant women across 17 included studies,fetal,How accurately AI models estimate gestational age from ultrasound compared with the standard reference,measurement / quantification,Systematic review and meta-analysis pooling AI models (mainly CNNs) that estimate gestational age from 2D ultrasound images or blind-sweep video against ultrasound-based reference standards,unclear,,,Frontiers in global women's health,2025,6,6.0,2.39,,,10.3389/fgwh.2025.1447579,https://doi.org/10.3389/fgwh.2025.1447579,Use of artificial intelligence for gestational age estimation: a systematic review and meta-analysis.,Naz S,systematic review and meta-analysis,17 studies (10 in meta-analysis),not stated,external / multi-center,Pooled mean GA error 4.32 days (2D images) and 2.55 days (blind-sweep video),39950139,39950139,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
LAS-Net,longitudinally aware segmentation network with cross-attention between timepoints,nuclear / PET; CT,whole body,"297 children in two Children's Oncology Group trials (median age 15.4 and 15.8 years), 200 internal and 97 external",child; adolescent; mixed pediatric and adult,"deciding from the interim PET whether a child's Hodgkin lymphoma is responding, which determines how much treatment they receive",segmentation; measurement / quantification,"Reads the baseline and interim PET together rather than separately, letting features from the first scan inform where to look on the second, which is how a physician actually reads a response study. It then produces the quantities that drive therapy decisions — metabolic tumor volume, total lesion glycolysis, qPET and the change in SUVmax — which correlated strongly with physician measurements. Trained and externally tested on cooperative group trial data.",unclear,,,Radiology. Artificial intelligence,2025,10,10.0,3.44,,,10.1148/ryai.240229,https://doi.org/10.1148/ryai.240229,Automatic Quantification of Serial PET/CT Images for Pediatric Hodgkin Lymphoma Using a Longitudinally Aware Segmentation Network.,Tie X,retrospective study on clinical trial cohorts with external testing,297 patients from two clinical trials,multi center,external / multi-center,"F1 0.61 for detecting residual lymphoma on interim PET, beating all comparators (P < .01); baseline segmentation Dice 0.77; Spearman correlation with physician measurements 0.78-0.96 across the four PET metrics",39969278,39969278,pubmed,False,high,,"claude-code (opus-5, manual)",1,2026-09-08
,2D single-channel convolutional neural network,MRI,fetal brain,317 fetuses with ventriculomegaly and 183 typically developing fetuses,fetal,"using a fetal brain age prediction model to identify fetuses with ventriculomegaly, its severity, and associated CNS abnormalities on fetal MRI",outcome prediction; measurement / quantification,"Input: multiplanar fetal brain MRI sections; output: a predicted fetal brain age, compared to gestational age (predicted age difference) to identify ventriculomegaly, its severity, and associated CNS abnormalities.",unclear,,,Radiology. Artificial intelligence,2025,7,7.0,2.66,,,10.1148/ryai.240115,https://doi.org/10.1148/ryai.240115,Deep Learning-based Brain Age Prediction Using MRI to Identify Fetuses with Cerebral Ventriculomegaly.,Yun HJ,retrospective case-control diagnostic performance study,"317 fetuses with ventriculomegaly, 183 typically developing fetuses",not stated,internal only,fetuses with VM had significantly larger absolute predicted age difference than typical fetuses (P<.001); severe VM larger than moderate VM (P=.004),39969279,39969279,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,machine learning classifier ('neural signature'),MRI,brain,"9,024 early adolescents",child; adolescent,improving the reliability of task-fMRI individual-difference measures of cognition and psychopathology in early adolescents,outcome prediction,A machine-learning classifier ('neural signature') is trained on task-based fMRI to distinguish high versus low working-memory load; its prediction captures individual differences and is compared against standard regional brain activation estimates for reliability and association with cognition/psychopathology.,unreleased,"preprint, not yet published",,medRxiv : the preprint server for health sciences,2025,3,3.0,,,,10.1101/2025.01.30.25321355,https://doi.org/10.1101/2025.01.30.25321355,Enhancing task fMRI individual difference research with neural signatures.,Baranger DA,cross-sectional machine learning method development (preprint),"9,024 early adolescents (training subsample N=320)",multi center,internal only,"Signature predictions more reliable and more strongly associated with task performance, cognition and psychopathology than standard regional activation estimates",39974058,39974058,pubmed,True,medium,,claude-code sonnet (worklist),1,2026-09-10
,"deep learning models (various, e.g. ResNet backbone)",x-ray / radiography,elbow,children aged 0-16 years (pooled across 6 studies),child; adolescent,diagnostic accuracy of deep learning models for detecting pediatric elbow fractures on radiographs,detection / diagnosis,Systematic review and meta-analysis of deep learning models (commonly ResNet-backbone CNNs) that classify elbow radiographs as fracture vs. no fracture in children aged 0-16.,unclear,,,European journal of trauma and emergency surgery : official publication of the European Trauma Society,2025,7,7.0,2.96,,,10.1007/s00068-025-02779-w,https://doi.org/10.1007/s00068-025-02779-w,Impact of deep learning on pediatric elbow fracture detection: a systematic review and meta-analysis.,Binh LN,systematic review and meta-analysis,6 studies included in meta-analysis (of 22 identified),not stated,external / multi-center,"pooled sensitivity 0.93, specificity 0.89, AUC 0.95",39976732,39976732,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
SegFormer3D,transformer (3D SegFormer),ultrasound,hip,Pediatric patients (newborns to 6 months) undergoing 3D hip ultrasound for DDH evaluation,neonate; infant,Robustly segmenting bone anatomy from 3D hip ultrasound to automate measurement of developmental dysplasia of the hip (DDH) metrics,segmentation,"A 3D extension of the SegFormer transformer architecture, with hierarchically structured encoders producing multi-scale features, segments hip bone anatomy from 3D ultrasound volumes to compute DDH diagnostic metrics more robustly than CNN/ViT baselines",unclear,,,Ultrasound in medicine & biology,2025,6,6.0,2.43,,,10.1016/j.ultrasmedbio.2024.12.013,https://doi.org/10.1016/j.ultrasmedbio.2024.12.013,SegFormer3D: Improving the Robustness of Deep Learning Model-Based Image Segmentation in Ultrasound Volumes of the Pediatric Hip.,Hers B,retrospective algorithm development and robustness evaluation study,not stated exactly (clinical pediatric test set),not stated,internal only,Up to 0.9% improvement in Dice score and up to 3% smaller 95% Hausdorff distance vs. state of the art,39979183,39979183,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,,MRI; CT; multiple,"brain (pineal/suprasellar region, intracranial germ cell tumor)","65 pathologically confirmed germinoma patients (adolescents, peak incidence age group; also children)",child; adolescent,"Provide a public imaging dataset to support development of AI models to improve diagnostic accuracy for germinoma, avoiding unnecessary surgery",,"Releases a public multimodal imaging dataset (T2, FLAIR, T1, contrast-enhanced T1, DWI MRI, and CT) with clinical and radiomic features from 65 pathologically confirmed germinoma cases to support training and validation of future AI diagnostic models.",open-source,there are no publicly available imaging datasets for germinoma. This study aimed to create a comprehensive dataset for germinoma...,,Scientific data,2025,2,2.0,,,,10.1038/s41597-025-04596-7,https://doi.org/10.1038/s41597-025-04596-7,A comprehensive dataset of germinoma on MRI/CT with clinical and radiomic data.,Huang L,dataset creation / data descriptor,65 pathologically confirmed germinoma cases,not stated,none / not stated,,39984475,39984475,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,CNN (ResNet-50),x-ray / radiography,hand and wrist,"12,611 training, 1,425 validation, 200 test hand/wrist radiographs (RSNA 2017 Pediatric Bone Age Challenge dataset)",pediatric (unspecified),automated pediatric bone age assessment from hand and wrist radiographs to guide orthopedic treatment decisions for growth-related disorders,measurement / quantification,"A ResNet-50-based deep-learning model takes hand and wrist radiographs as input and outputs a predicted bone age in months, benchmarked against radiologist-determined ages.",unclear,,,Cureus,2025,5,5.0,1.95,,,10.7759/cureus.79507,https://doi.org/10.7759/cureus.79507,Enhancing Pediatric Bone Age Assessment Using Artificial Intelligence: Implications for Orthopedic Surgery.,Zadoo N,retrospective algorithm development and validation study using a public benchmark dataset,"12,611 train / 1,425 validation / 200 test radiographs",public dataset,internal only,"RMSE 11.07 months, MAE 8.54 months, R² 0.929",39989489,39989489,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
CSF-PINN (Coupled Sequential Frame PINN),physics-informed neural network,ultrasound,heart (left ventricle),"image-based flow simulations of fetal and adult hearts (synthetic data, not patient imaging)",fetal; mixed pediatric and adult,"reconstructing detailed 3D blood flow velocity and pressure fields in the cardiac left ventricle from color Doppler echocardiography, tested using fetal and adult heart simulations",reconstruction / imputation,"a physics-informed neural network takes sparse, noisy 3D color Doppler velocity data as input and outputs reconstructed 3D flow velocity and pressure fields in the cardiac left ventricle",unclear,,,Computer methods and programs in biomedicine,2025,8,8.0,3.08,,,10.1016/j.cmpb.2025.108671,https://doi.org/10.1016/j.cmpb.2025.108671,3D velocity and pressure field reconstruction in the cardiac left ventricle via physics informed neural network from echocardiography guided by 3D color Doppler.,Wong HS,computational/simulation-based technical validation study,,not stated,internal only,,39993372,39993372,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,"graph neural networks (simple and residual graph convolutional networks), compared with multi-layer perceptron, random forest, and SVM",MRI,brain (structural connectome),"adult BRIGHT dataset (147 Hodgkin lymphoma survivors, 162 age-matched controls) and pediatric HCP-Development dataset (135 healthy subjects)",mixed pediatric and adult,sex classification from pediatric and adult structural brain connectome data,other,"Structural brain connectome graphs (nodes as brain regions, edges as white matter connection strength) from adult and pediatric datasets are input to graph neural network models (simple and residual graph convolutional networks), compared against a multilayer perceptron, random forest, and support vector machine. Architecture experiments test network depth, pooling, and skip connections, with performance assessed by accuracy, AUC, and adversarial robustness; adult-trained models were also extended to and augmented with pediatric data.",unclear,,,"Tomography (Ann Arbor, Mich.)",2025,0,0.0,,,,10.3390/tomography11020014,https://doi.org/10.3390/tomography11020014,Graph Neural Network Learning on the Pediatric Structural Connectome.,Srinivasan A,retrospective multi-cohort methodological and classification study,147 + 162 adults (BRIGHT dataset); 135 pediatric subjects (HCP-Development),not stated,external / multi-center,Adult GNN models achieved 85.1% accuracy in sex classification on unseen adult participants; the best model using pediatric data augmentation achieved 83.0% accuracy on pediatric and 81.3% on adult participants,39997997,39997997,pubmed,False,high,,claude-sonnet-5 (claude code),1,2026-09-10
AiCE Inner Ear,deep learning reconstruction (vendor-specific DLR),CT,temporal bone (inner ear),"35 patients (57 temporal bones): 30 in the adult protocol subgroup, 5 children in the pediatric protocol subgroup",mixed pediatric and adult,"Improve image quality and diagnostic visualization of temporal bone structures on ultra-high-resolution CT using deep learning reconstruction, including in a pediatric-dose protocol",reconstruction / imputation,"Applies a vendor-specific deep learning reconstruction algorithm (AiCE Inner Ear) to ultra-high-resolution temporal bone CT raw data, producing denoised images with improved contrast-to-noise and signal-to-noise ratios compared to hybrid iterative reconstruction, evaluated in both adult- and pediatric-dose protocols.",commercial,"a novel, vendor-specific deep learning-based reconstruction (DLR) algorithm called AiCE Inner Ear",,Academic radiology,2025,2,2.0,,,,10.1016/j.acra.2025.02.002,https://doi.org/10.1016/j.acra.2025.02.002,Deep Learning-Enhanced Ultra-high-resolution CT Imaging for Superior Temporal Bone Visualization.,Brockstedt L,retrospective single-center reader study,"57 temporal bones from 35 patients (30 adult protocol, 5 pediatric protocol)",single center,reader study,"DLR significantly improved subjective image quality (p<0.024), reduced noise (p<0.001), increased CNR/SNR (p<0.001) in both adult and pediatric protocol subgroups",40000329,40000329,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,,MRI,brain (pediatric cancer),"children with cancer undergoing neuroimaging (narrative review, no single study population)",pediatric (unspecified),"use of AI to improve pediatric cancer neuroimaging (tumor detection, segmentation, characterization, treatment planning)",segmentation; detection / diagnosis; outcome prediction,"Narrative review of AI applications in pediatric cancer neuroimaging, covering accelerated image acquisition, reduced radiation dose, convolutional neural networks for tumor segmentation, radiomics for tumor characterization, and functional imaging tools; also discusses limited pediatric datasets, developmental variability, ethics, and explainability as challenges.",unclear,,,Cancers,2025,24,24.0,8.3,,,10.3390/cancers17040622,https://doi.org/10.3390/cancers17040622,Artificial Intelligence for Neuroimaging in Pediatric Cancer.,Dalboni da Rocha JL,narrative review,,not stated,none / not stated,,40002217,40002217,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,CNN (HigherHRNet-W48 with 3D transformation),ultrasound,hip,417 infants at risk of DDH,infant,automated diagnosis of developmental dysplasia of the hip (DDH) in infants from ultrasound images,detection / diagnosis,"Combines CNN-based apex-point estimation (HigherHRNet-W48) with 3D-transformed 2D ultrasound images and signal-heterogeneity analysis of the ilium as input, outputting alpha-angle-based DDH diagnosis and image quality classification.",unclear,,,"Diagnostics (Basel, Switzerland)",2025,5,5.0,2.05,,,10.3390/diagnostics15040403,https://doi.org/10.3390/diagnostics15040403,Diagnosis on Ultrasound Images for Developmental Dysplasia of the Hip with a Deep Learning-Based Model Focusing on Signal Heterogeneity in the Bone Region.,Shimizu H,retrospective algorithm development and validation study,417 infants,not stated,internal only,"AUC 0.92 for DDH detection in qualifying images, exceeding orthopedic resident accuracy",40002554,40002554,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,deep neural network (DenseNet201),x-ray / radiography,hand and wrist,over 250 clinical AIS patients (testing); trained on RSNA Bone Age dataset,child; adolescent,Can automated bone age assessment support skeletal maturity monitoring in adolescents with idiopathic scoliosis?,measurement / quantification,"A custom DenseNet201-based deep neural network estimates bone age from hand radiographs, with Score-CAM explainability, trained on the RSNA Bone Age dataset and tested on adolescent idiopathic scoliosis patients; compared against the BoneXpert commercial system.",unclear,,,"Diagnostics (Basel, Switzerland)",2025,1,1.0,,,,10.3390/diagnostics15040452,https://doi.org/10.3390/diagnostics15040452,Automatic Evaluation of Bone Age Using Hand Radiographs and Pancorporal Radiographs in Adolescent Idiopathic Scoliosis.,Andleeb I,retrospective model development and clinical validation,RSNA Bone Age dataset (training); >250 AIS patients (testing),public dataset,external / multi-center,MAE 4.87 months on clinical AIS test set,40002603,40002603,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,Multiresolution Deep Convolutional Neural Network (MDCNN) with intensified region-of-interest segmentation,ultrasound,fetal heart,fetal ultrasound images with normal and abnormal four-chamber/vessel findings,fetal,early detection of fetal heart disease (four-chamber and blood-vessel malformations) from ultrasound imaging,detection / diagnosis,Input: 2D fetal ultrasound images preprocessed with adaptive median filtering; output: MDCNN classification of normal vs. abnormal fetal heart disease patterns after intensified region-of-interest segmentation.,unclear,,,Technology and health care : official journal of the European Society for Engineering and Medicine,2025,0,0.0,,,,10.1177/09287329241310981,https://doi.org/10.1177/09287329241310981,FHD deep learning prognosis approach: Early detection of fetal heart disease (FHD) using ultrasonography image-based IROI combined multiresolution DCNN.,G S,retrospective model development study,,not stated,internal only,overall classification efficiency of 99.79% for normal and abnormal conditions,40007382,40007382,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,deep learning (image registration / deformation field),MRI,heart,"139 male patients with DMD, mean age 15.2±3.1 years",child; adolescent,Can a deep learning-derived strain measure from noncontrast cardiac MRI detect myocardial fibrosis in boys with Duchenne muscular dystrophy?,measurement / quantification; detection / diagnosis,"A deep learning pipeline detects key cardiac-cycle frames and deformation fields on noncontrast cine cardiac MRI to derive an 'aligned strain' measure, used to identify myocardial segments with fibrosis in Duchenne muscular dystrophy.",unclear,,,Radiology. Artificial intelligence,2025,1,1.0,,,,10.1148/ryai.240303,https://doi.org/10.1148/ryai.240303,Deep Learning-based Aligned Strain from Cine Cardiac MRI for Detection of Fibrotic Myocardial Tissue in Patients with Duchenne Muscular Dystrophy.,Koehler S,retrospective single-center study,"139 patients (57 for effectiveness, 82 for reproducibility)",single center,internal only,"Identified 5x more fibrotic-vs-nonfibrotic differences (29 vs 5, p<.01); improved specificity by 40%, accuracy by 17%",40008976,40008976,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
MIMI-ONET,Hepta-GAN augmentation with deep neural network classification,MRI,brain,"Image-HD dataset patients classified as normal control, adult-onset HD, or juvenile HD",mixed pediatric and adult,"detecting/classifying Huntington's disease, including juvenile-onset disease, from brain MRI using augmented multimodal images",detection / diagnosis,"Input: multimodal brain MRI decomposed by stationary wavelet transform; output: Hepta-GAN-augmented images classified by a deep neural network into normal control, adult-onset Huntington disease, or juvenile Huntington disease.",unclear,,,Brain research,2025,0,0.0,,,,10.1016/j.brainres.2025.149530,https://doi.org/10.1016/j.brainres.2025.149530,MIMI-ONET: Multi-Modal image augmentation via Butterfly Optimized neural network for Huntington DiseaseDetection.,Amudaria S,retrospective model development study,,public dataset,internal only,"accuracy 98.85%, PSNR 48.05, improving overall accuracy 1.85-13.8 percentage points over compared architectures",40010625,40010625,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
AIIR,deep learning-based reconstruction algorithm,CT,chest / lung,"191 patients below 3 years old with congenital heart disease, prospectively enrolled",infant; neonate,reducing radiation dose in pediatric chest CT while preserving image quality and diagnostic accuracy for pneumonia and airway stenosis in infants with congenital heart disease,reconstruction / imputation,"Input: low-dose (~0.1 mSv) chest CT raw data; output: reconstructed images via AI iterative reconstruction (AIIR), compared to hybrid iterative reconstruction (HIR) and a routine-dose reference for image quality and diagnostic performance.",unclear,,,Journal of thoracic imaging,2025,7,7.0,2.16,,,10.1097/RTI.0000000000000827,https://doi.org/10.1097/RTI.0000000000000827,Artificial Intelligence Iterative Reconstruction for Dose Reduction in Pediatric Chest CT: A Clinical Assessment via Below 3 Years Patients With Congenital Heart Disease.,Zhang F,prospective clinical assessment study,191 patients below 3 years old,single center,prospective,AIIR images not significantly different from reference (P>0.05); airway stenosis grading consistency 88.5% (AIIR) vs 56.5% (HIR),40013381,40013381,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,deep learning multimodal model,ultrasound,liver / biliary system,"1,579 participants in retrospective study (infants/newborns); 171 cases in prospective external validation",infant; neonate,early diagnosis of biliary atresia in infants using multimodal data including ultrasound images,detection / diagnosis,"Input: ultrasound images combined with clinical data and laboratory results (a simplified version uses only easily obtainable data, no blood draw); output: probability of biliary atresia, compared against human experts of varying experience.",unclear,,,BMC medicine,2025,7,7.0,2.58,,,10.1186/s12916-025-03962-x,https://doi.org/10.1186/s12916-025-03962-x,Development of an artificial intelligence-based multimodal diagnostic system for early detection of biliary atresia.,Ma Y,retrospective model development with prospective external validation and reader comparison,"1,579 participants (retrospective); 171 cases (prospective external test set)",multi center,external / multi-center,"internal test AUC 0.9870 (multimodal), 0.9799 (simplified); external test AUC 0.9740 vs. experienced radiologist AUC 0.9766; less-experienced radiologist AI-assisted AUC improved from 0.6667 to 0.9006",40016769,40016769,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,radiomics + logistic regression nomogram,MRI,placenta,594 pregnant women suspected of PAS in the third trimester,fetal,Can placental MRI radiomics predict placenta accreta spectrum before delivery in the third trimester?,outcome prediction,A radiomics signature extracted from T2-weighted placental MRI is combined with clinical risk factors in a nomogram to predict placenta accreta spectrum before delivery.,unclear,,,Placenta,2025,1,1.0,,,,10.1016/j.placenta.2025.02.009,https://doi.org/10.1016/j.placenta.2025.02.009,Radiomics analysis of placental MRI for prenatal prediction of placenta accreta spectrum in pregnant women in the third trimester: A retrospective study of 594 patients.,Li K,retrospective study,594 pregnant women,single center,internal only,"Nomogram AUC 0.84 (training), 0.89 (testing), outperforming MRI diagnosis alone (AUC 0.77-0.79)",40020516,40020516,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,transfer learning deep-learning model (TLM),ultrasound,fetal biliary system / gallbladder,fetuses from 20 hospitals across China and infants from a public database; three independent test cohorts,fetal,"Prenatal diagnosis of biliary atresia, a rare and severe congenital disorder that is challenging to detect before birth, from fetal ultrasound",detection / diagnosis,"A transfer-learning deep-learning model, pretrained and fine-tuned across multi-institutional fetal ultrasound data, predicts fetal biliary atresia and outperforms both a basic deep-learning model and individual sonologists when used as a diagnostic aid.",unclear,,,NPJ digital medicine,2025,4,4.0,,,,10.1038/s41746-025-01525-1,https://doi.org/10.1038/s41746-025-01525-1,Transfer learning method for prenatal ultrasound diagnosis of biliary atresia.,He F,retrospective multi-institutional model development with independent external test cohorts; registered clinical trial (ChiCTR2200059705),multi-institutional fetal cohort from 20 hospitals plus a public infant database (exact n not stated); three independent test cohorts,multi center,external / multi-center,"AUC 0.906, 0.914, 0.907 across three independent test cohorts (vs 0.793, 0.790, 0.880 for the basic deep-learning model)",40021764,40021764,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
,,ultrasound,fetal,,fetal,Reviewing the use of artificial intelligence and radiomics in fetal ultrasound imaging,other,"A review of the literature on artificial intelligence and radiomics applications in fetal ultrasound, with future perspectives; no further detail is available because the abstract text was not provided in this record.",unclear,,,Ultrasound in obstetrics & gynecology : the official journal of the International Society of Ultrasound in Obstetrics and Gynecology,2025,4,4.0,,,,10.1002/uog.29172,https://doi.org/10.1002/uog.29172,"Artificial intelligence, radiomics and fetal ultrasound: review of literature and future perspectives.",Bouachba A,narrative review (abstract text not available in this record),,not stated,none / not stated,,40024623,40024623,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
DSS-P and DSS-C (Decision Support System for Patients / Clinicians),XGBoost (gradient-boosted trees),x-ray / radiography,chest,"2,559 children evaluated for influenza-like illness, especially under age 6",infant; child,"triaging febrile children with influenza-like illness using symptoms, breath sounds, and chest X-ray findings",outcome prediction; workflow / non-interpretive,DSS-P uses patient symptoms/history; DSS-C additionally incorporates breath-sound type and chest X-ray results; output is an XGBoost-based predicted likelihood of influenza/RSV to guide testing and care decisions,unclear,,,Biomedical engineering letters,2025,1,0.5,0.43,,25.5,10.1007/s13534-024-00450-8,https://doi.org/10.1007/s13534-024-00450-8,AI-assisted diagnostic approach for the influenza-like illness in children: decision support system for patients and clinicians.,Lee Y,retrospective single-center predictive model development study,"2,559 children",single center,internal only,AUC 0.749-0.776 (influenza) and 0.907-0.924 (RSV) across DSS-P/DSS-C,40026885,40026885,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,"convolutional neural network (transfer learning; VGG16, Xception, VGG19, Inception, MobileNetV2 variants)",x-ray / radiography,hand,"22,366 pediatric hand radiographs",child,Can deep learning detect metaphyseal signs on children's hand X-rays to diagnose Kashin-Beck disease?,detection / diagnosis,"Five transfer-learning-based CNN models (KBV16, KBX, KBV19, KBIn, KBM2) are trained and compared for detecting metaphyseal signs of Kashin-Beck disease on pediatric hand radiographs.",unclear,,,Cureus,2025,1,1.0,,,,10.7759/cureus.78235,https://doi.org/10.7759/cureus.78235,A Comparison of Transfer Learning Metaphyseal Sign Diagnostic Models for Kashin-Beck Disease Based on X-rays of Children's Hands.,Li G,retrospective model comparison study,"22,366 images",not stated,internal only,"KBV16: 95.63% validation accuracy, 95.35% test accuracy",40027020,40027020,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
SUPINN,physics-informed neural network,MRI,brain (cerebral perfusion),infant ASL MRI data (premature and perinatal-complication infants),infant; neonate,Can a physics-informed neural network reliably estimate cerebral blood flow from arterial spin labeling MRI in infants?,measurement / quantification,"SUPINN, a spatial-uncertainty-based physics-informed neural network with a multi-branch architecture, estimates cerebral blood flow, bolus arrival time, and blood T1 from infant arterial spin labeling MRI data.",open-source,Source code is provided at: https://github.com/cgalaz01/supinn,https://github.com/cgalaz01/supinn,Frontiers in network physiology,2025,1,1.0,,,,10.3389/fnetp.2025.1488349,https://doi.org/10.3389/fnetp.2025.1488349,PINNing cerebral blood flow: analysis of perfusion MRI in infants using physics-informed neural networks.,Galazis C,technical method development and validation study,,not stated,internal only,CBF relative error -0.3±71.7% (outperforming least squares and standard PINNs),40028512,40028512,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,"support vector machine, naive Bayes",MRI,brain,"pediatric MRI from National Taiwan University, ages 2-18",child; adolescent,Can texture features from structural brain MRI help diagnose Tourette syndrome in children and adolescents?,detection / diagnosis,Texture features extracted from FreeSurfer-segmented structural brain MRI regions are classified using SVM and naive Bayes classifiers to distinguish Tourette syndrome from controls.,unclear,,,"Journal of medical imaging (Bellingham, Wash.)",2025,1,1.0,,,,10.1117/1.JMI.12.2.026001,https://doi.org/10.1117/1.JMI.12.2.026001,Identifying texture features from structural magnetic resonance imaging scans associated with Tourette's syndrome using machine learning.,de Barros MC,retrospective case-control classification study,,single center,internal only,,40028654,40028654,pubmed,False,low,,claude-code sonnet (worklist),1,2026-09-10
,unsupervised deep learning image registration with spatial feedback attention,ultrasound,heart,fetal and adult 3D echocardiography datasets,mixed pediatric and adult,"improving cardiac motion estimation accuracy in 3D echocardiography, applicable to fetal and adult hearts",reconstruction / imputation,"A spatial feedback-attention module generates a co-attention map of residual registration error and feeds it back into an unsupervised 3D deep-learning image-registration network, improving cardiac motion estimation on both fetal and adult 3D echocardiography.",open-source,Codes and data are available at: https://github.com/kamruleee51/Feedback_DLIR,https://github.com/kamruleee51/Feedback_DLIR,IEEE transactions on medical imaging,2025,3,3.0,,,,10.1109/TMI.2025.3530501,https://doi.org/10.1109/TMI.2025.3530501,Feedback Attention to Enhance Unsupervised Deep Learning Image Registration in 3D Echocardiography.,Hasan MK,algorithm development and benchmark comparison,,not stated,internal only,Outperformed existing 3D deep-learning image-registration approaches,40030923,40030923,pubmed,False,medium,,claude-code sonnet (worklist),1,2026-09-10
,"CNN ensemble (VGG11, ResNet18) with decision fusion (LightGBM)",multiple,abdomen,"3665 cases of pediatric intussusception, 2017-2022, single center",infant; child,predicting recurrence of intussusception in children,outcome prediction,"Deep learning models (VGG11 for ultrasound images, ResNet18 for abdominal radiographs) each predict probability of recurrent intussusception; predictions are combined via averaging and stacking (LightGBM meta-model) fusion.",unclear,,,BMC medical imaging,2025,3,3.0,,,,10.1186/s12880-025-01582-8,https://doi.org/10.1186/s12880-025-01582-8,Development and validation of a deep learning algorithm for prediction of pediatric recurrent intussusception in ultrasound images and radiographs.,Qian YF,retrospective single-center model development,3665 cases (6:4 train/validation split),single center,internal only,"AUC 0.897 with stacking fusion (LightGBM), vs 0.669 (US alone) and 0.809 (radiograph alone)",40033220,40033220,pubmed,False,high,,claude-code sonnet (worklist),1,2026-09-10
"FSL, FreeSurfer, volBrain, SPM12, SimNIBS (compared)",automated MRI segmentation pipelines (various),MRI,brain,16 juvenile and 8 late-infantile GM1 gangliosidosis patients and 11 neurotypical controls,infant; child; adolescent,"evaluating the accuracy of automated brain MRI segmentation pipelines in GM1 gangliosidosis (a neurodegenerative lysosomal storage disorder), compared with manual segmentation",segmentation,Input: brain MRI from juvenile and late-infantile GM1 gangliosidosis patients and neurotypical controls; output: automated volumetric segmentation of 7 brain structures compared against manual segmentation across 5 pipelines.,unreleased,"preprint, not yet published",,medRxiv : the preprint server for health sciences,2025,0,0.0,,,,10.1101/2025.02.18.25322304,https://doi.org/10.1101/2025.02.18.25322304,A Case for Automated Segmentation of MRI Data in Milder Neurodegenerative Diseases.,Lewis CJ,methods comparison study (preprint),"75 MRI scans (45 juvenile GM1, 11 late-infantile GM1, 19 controls)",not stated,internal only,"volBrain's vol2Brain pipeline had strongest correlations with manual segmentation for whole brain, ventricles, and thalamus",40034761,40034761,pubmed,True,medium,,claude-code sonnet (worklist),1,2026-09-10
